Title,Link,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,MinPlayTime,MaxPlayTime,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Machi Koro ,https://boardgamegeek.com/boardgame/143884/machi-koro,177,2012,32267,6.60672,6.49585,1.36146,1.5266,1107,118605,7,2,4,4,4.0,359,30,30,Family ,407,6.49714,"Dice Rolling
Race
Random Production
",$20.49,,,,,,
Legend of the Five Rings: The Card Game ,https://boardgamegeek.com/boardgame/184151/legend-five-rings-card-game,178,2017,2756,7.3666,6.49501,1.68688,4.0081,124,16258,3,2,2,2,2.0,31,45,90,Customizable,44,6.96552,"Action Points
Deck Construction
Hand Management
Secret Unit Deployment
Simultaneous Action Selection
Variable Player Powers
",$29.99,,,,,,
La Isla ,https://boardgamegeek.com/boardgame/154246/la-isla,179,2014,5540,6.86637,6.49482,1.163,2.2528,269,18319,1,2,4,4,4.0,91,30,60,Strategy ,708,6.57199,"Action Queue
Commodity Speculation
Enclosure
Hand Management
Modular Board
Multi-Use Cards
",Unknown,Family ,338,6.58823,,,
Vanuatu ,https://boardgamegeek.com/boardgame/104020/vanuatu,180,2011,2750,7.22084,6.4954,1.44777,3.303,198,5528,0,3,5,4,4.0,82,90,90,Strategy ,643,6.64196,"Auction/Bidding
Grid Movement
Hexagon Grid
Market
Modular Board
Tile Placement
",$59.99,,,,,,
No Retreat! The Russian Front ,https://boardgamegeek.com/boardgame/68264/no-retreat-russian-front,181,2011,1681,7.75668,6.49344,1.47837,3.1366,183,3352,6,1,2,2,2.0,39,360,360,War ,51,7.39492,"Campaign / Battle Card Driven
Dice Rolling
Grid Movement
Hexagon Grid
Movement Points
Ratio / Combat Results Table
",Unknown,,,,,,
Primordial Soup ,https://boardgamegeek.com/boardgame/124/primordial-soup,182,1997,4699,6.92493,6.49274,1.32676,2.7321,474,6327,2,3,4,4,4.0,70,90,90,Strategy ,698,6.58477,"Bias
Dice Rolling
Grid Movement
Variable Player Powers
",$114.00,,,,,,
Stick 'Em ,https://boardgamegeek.com/boardgame/354/stick-em,183,1993,3589,7.04332,6.49229,1.33093,1.9094,254,15488,1,3,6,3,4.0,78,30,60,Strategy ,668,6.60779,"Hand Management
Trick-taking
",Unknown,,,,,,
For the People ,https://boardgamegeek.com/boardgame/833/people,184,1998,1665,7.77529,6.49243,1.43651,3.7276,246,2497,3,2,2,2,2.0,39,360,360,War ,48,7.40556,"Campaign / Battle Card Driven
Dice Rolling
Point to Point Movement
Simulation
",Unknown,,,,,,
Whistle Stop ,https://boardgamegeek.com/boardgame/221318/whistle-stop,185,2017,3517,7.07165,6.49167,1.24522,2.7561,82,8957,0,2,5,4,4.0,51,75,75,Strategy ,678,6.60238,"Action Points
Pick-up and Deliver
Set Collection
Tile Placement
",$49.99,,,,,,
Claustrophobia 1643 ,https://boardgamegeek.com/boardgame/257518/claustrophobia-1643,186,2019,1473,8.02523,6.49224,1.34565,2.6667,45,3342,4,2,2,2,2.0,29,45,90,Thematic,167,6.91996,"Dice Rolling
Grid Movement
Modular Board
Multi-Use Cards
Variable Player Powers
",Unknown,,,,,,
Circle the Wagons ,https://boardgamegeek.com/boardgame/213266/circle-wagons,187,2017,3416,7.0796,6.49037,1.08374,1.6364,77,19963,1,1,2,2,2.0,46,15,15,Family ,320,6.6173,"Contracts
Layering
Open Drafting
Set Collection
Tile Placement
",Unknown,,,,,,
Dice Throne ,https://boardgamegeek.com/boardgame/268201/dice-throne,188,2018,1979,7.67104,6.49214,1.5954,2.1458,48,20430,0,2,4,2,2.0,45,20,40,Family ,301,6.64028,"Dice Rolling
Take That
Variable Player Powers
",$209.50,,,,,,
Crisis ,https://boardgamegeek.com/boardgame/128721/crisis,189,2016,1980,7.51146,6.49031,1.20724,3.0698,86,6328,1,2,5,4,4.0,51,45,120,Strategy ,630,6.65827,"Commodity Speculation
Semi-Cooperative Game
Worker Placement
",Unknown,,,,,,
Blueprints ,https://boardgamegeek.com/boardgame/140933/blueprints,190,2013,6776,6.79737,6.48966,1.12209,1.6868,265,21729,1,2,4,4,4.0,96,30,30,Family ,354,6.56346,"Dice Rolling
Pattern Building
Set Collection
",$20.99,,,,,,
Escape from the Aliens in Outer Space ,https://boardgamegeek.com/boardgame/82168/escape-aliens-outer-space,191,2010,4856,6.93023,6.48854,1.35659,1.9196,112,12086,1,4,8,6,6.0,60,20,45,Thematic,297,6.62789,"Grid Movement
Hexagon Grid
Hidden Movement
Hidden Roles
Paper-and-Pencil
Secret Unit Deployment
",$35.76,Strategy ,737,6.54571,,,
Hansa ,https://boardgamegeek.com/boardgame/8989/hansa,192,2004,5152,6.88045,6.48769,1.1611,2.3365,630,11912,2,2,4,2,2.0,166,60,60,Strategy ,705,6.5751,"Action Points
Area Majority / Influence
Income
Pick-up and Deliver
Point to Point Movement
Set Collection
",Unknown,,,,,,
Caylus Magna Carta ,https://boardgamegeek.com/boardgame/27364/caylus-magna-carta,193,2007,4966,6.89298,6.48692,1.25004,2.8704,494,8966,6,2,4,3,4.0,103,45,75,Strategy ,707,6.57279,"Hand Management
Worker Placement
",Unknown,,,,,,
Tiny Epic Zombies ,https://boardgamegeek.com/boardgame/244536/tiny-epic-zombies,194,2018,5216,6.96401,6.48688,1.3776,2.4845,97,10076,0,1,5,3,3.0,62,30,45,Thematic,324,6.58544,"Area Majority / Influence
Cooperative Game
Dice Rolling
Modular Board
Pick-up and Deliver
Push Your Luck
",Unknown,,,,,,
Chronicles of Crime: 1900 ,https://boardgamegeek.com/boardgame/302098/chronicles-crime-1900,195,2021,1685,7.99586,6.4881,1.2929,1.8214,28,3209,0,1,3,2,2.0,22,60,90,Thematic,180,6.8777,"Cooperative Game
Scenario / Mission / Campaign Game
Storytelling
Variable Player Powers
",Unknown,,,,,,
Witch's Brew ,https://boardgamegeek.com/boardgame/34084/witchs-brew,196,2008,3824,7.01139,6.48549,1.24639,1.87,323,10527,8,4,5,5,5.0,105,30,60,Strategy ,686,6.5963,"Hand Management
Simultaneous Action Selection
",Unknown,Family ,328,6.60631,,,
Here I Stand: 500th Anniversary Edition ,https://boardgamegeek.com/boardgame/242722/here-i-stand-500th-anniversary-edition,197,2017,1010,8.5536,6.48414,1.46225,4.5345,58,1215,1,2,6,6,6.0,38,180,360,War ,5,7.82151,"Campaign / Battle Card Driven
Dice Rolling
Hand Management
Point to Point Movement
Simulation
Variable Player Powers
",Unknown,,,,,,
Rise of Augustus ,https://boardgamegeek.com/boardgame/137297/rise-augustus,198,2013,8178,6.73385,6.48389,1.22904,1.634,418,43645,17,2,6,3,4.0,113,30,30,Family ,363,6.54993,"Bingo
Open Drafting
Push Your Luck
Set Collection
",Unknown,,,,,,
Steam Park ,https://boardgamegeek.com/boardgame/121410/steam-park,199,2013,5979,6.83372,6.48295,1.22504,2.1187,219,11280,5,2,4,4,4.0,67,60,60,Family ,352,6.56592,"Dice Rolling
Memory
Modular Board
Open Drafting
Real-Time
",$33.00,,,,,,
Beast ,https://boardgamegeek.com/boardgame/281549/beast,200,2023,2096,7.63263,6.48671,1.51772,2.9186,86,4668,0,2,4,3,3.0,63,60,120,Thematic,245,6.72748,"Action Drafting
Closed Drafting
Hand Management
Hidden Movement
Point to Point Movement
Secret Unit Deployment
",$59.99,Strategy ,670,6.60681,,,
Plague Inc.: The Board Game ,https://boardgamegeek.com/boardgame/195162/plague-inc-board-game,201,2017,3226,7.373,6.48287,1.40097,2.1456,103,8053,0,1,4,4,4.0,70,60,60,Strategy ,752,6.53141,"Area Majority / Influence
Hand Management
Network and Route Building
Simulation
Take That
Tile Placement
",$36.97,,,,,,
Pathfinder Adventure Card Game: Skull & Shackles – Base Set ,https://boardgamegeek.com/boardgame/151007/pathfinder-adventure-card-game-skull-shackles-base,202,2014,2661,7.29911,6.48309,1.55245,2.9149,94,18683,2,1,4,3,4.0,45,90,90,Customizable,43,6.97338,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Move Through Deck
Role Playing
Scenario / Mission / Campaign Game
",$29.99,Thematic,232,6.75397,,,
Claim ,https://boardgamegeek.com/boardgame/233961/claim,203,2017,4542,6.96291,6.4822,1.18751,1.69,100,28155,1,2,2,2,2.0,48,25,25,Family ,345,6.57857,"Area Majority / Influence
Auction: Once Around
Auction/Bidding
Trick-taking
",Unknown,,,,,,
Watson & Holmes ,https://boardgamegeek.com/boardgame/182694/watson-holmes,204,2015,2590,7.27948,6.48201,1.39126,2.1346,52,5919,1,3,7,4,5.0,36,45,75,Thematic,231,6.75453,"Auction/Bidding
Modular Board
Player Elimination
Simultaneous Action Selection
Variable Player Powers
",$69.99,,,,,,
Atiwa ,https://boardgamegeek.com/boardgame/362452/atiwa,205,2022,1961,7.53939,6.48784,1.09739,2.7263,95,7340,2,1,4,3,3.0,56,30,120,Strategy ,626,6.66373,"Automatic Resource Growth
End Game Bonuses
Modular Board
Turn Order: Claim Action
Worker Placement
",$51.99,,,,,,
Spirits of the Wild ,https://boardgamegeek.com/boardgame/256606/spirits-wild,206,2018,2420,7.35085,6.48123,1.1262,1.377,61,13660,1,2,2,2,2.0,22,15,30,Family ,305,6.63863,"Action Retrieval
Hand Management
Set Collection
",Unknown,,,,,,
Hoplomachus: Victorum ,https://boardgamegeek.com/boardgame/313889/hoplomachus-victorum,207,2023,1073,8.54875,6.48994,1.31805,3.4839,62,6032,0,1,1,1,1.0,37,0,90,Strategy ,595,6.69808,"Dice Rolling
Solo / Solitaire Game
",Unknown,,,,,,
Exit: The Game – The Sinister Mansion ,https://boardgamegeek.com/boardgame/226520/exit-game-sinister-mansion,208,2018,2479,7.27208,6.48148,1.36012,2.5429,35,3130,0,1,3,2,2.0,27,45,90,Thematic,215,6.78454,"Cooperative Game
",$14.95,,,,,,
Castles of Mad King Ludwig: Collector's Edition ,https://boardgamegeek.com/boardgame/326945/castles-mad-king-ludwig-collectors-edition,209,2022,1088,8.37273,6.48633,1.14164,2.5333,15,3680,0,1,4,3,3.0,11,60,90,Strategy ,591,6.70215,"Auction: Dutch
Auction/Bidding
End Game Bonuses
Hidden Victory Points
I Cut, You Choose
Increase Value of Unchosen Resources
",Unknown,,,,,,
Café ,https://boardgamegeek.com/boardgame/284936/cafe,210,2020,2607,7.29146,6.48316,1.17051,2.0128,78,12475,8,1,4,2,2.0,56,20,45,Abstract ,44,6.84785,"Action Points
Highest-Lowest Scoring
Layering
Melding and Splaying
Pick-up and Deliver
Solo / Solitaire Game
",$47.39,Strategy ,680,6.60145,,,
Poker ,https://boardgamegeek.com/boardgame/1115/poker,211,1810,10774,6.71996,6.47959,1.89486,2.4253,703,43541,0,3,9,5,6.0,154,60,60,Strategy ,798,6.48251,"Betting and Bluffing
Player Elimination
Set Collection
",Unknown,,,,,,
Colossal Arena ,https://boardgamegeek.com/boardgame/105/colossal-arena,212,1997,7240,6.76423,6.47755,1.22917,2.0203,739,15398,0,2,5,3,3.0,192,40,60,Strategy ,751,6.53212,"Betting and Bluffing
Hand Management
Investment
",Unknown,Family ,373,6.53735,,,
Fairy Tale ,https://boardgamegeek.com/boardgame/13823/fairy-tale,213,2004,8873,6.70788,6.47813,1.25921,1.7668,656,40970,1,2,5,4,4.0,162,30,30,Strategy ,759,6.52291,"Closed Drafting
Hand Management
Set Collection
Simultaneous Action Selection
",Unknown,Family ,376,6.532,,,
Princes of the Renaissance ,https://boardgamegeek.com/boardgame/8045/princes-renaissance,214,2003,2311,7.31794,6.4772,1.49003,3.5083,242,3329,1,4,6,5,5.0,55,180,180,Strategy ,649,6.6362,"Area Majority / Influence
Auction/Bidding
Dice Rolling
Variable Player Powers
",$39.99,,,,,,
18Chesapeake ,https://boardgamegeek.com/boardgame/253608/18chesapeake,215,2020,1556,7.72901,6.47676,1.28028,3.8554,83,7304,3,3,6,4,4.0,51,180,180,Strategy ,617,6.67488,"Auction/Bidding
Hexagon Grid
Market
Network and Route Building
Ownership
Stock Holding
",Unknown,,,,,,
Kraftwagen ,https://boardgamegeek.com/boardgame/171879/kraftwagen,216,2015,2561,7.23134,6.47649,1.16588,2.8276,116,6654,1,2,4,4,4.0,51,75,75,Strategy ,656,6.62435,"Rondel
Set Collection
Turn Order: Time Track
Worker Placement
",Unknown,,,,,,
Aeon's End: Outcasts ,https://boardgamegeek.com/boardgame/299317/aeons-end-outcasts,217,2020,984,8.55781,6.4757,1.28855,3,18,4206,0,1,4,2,2.0,21,60,60,Strategy ,593,6.70188,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Variable Phase Order
Variable Player Powers
",Unknown,,,,,,
Cleopatra and the Society of Architects ,https://boardgamegeek.com/boardgame/22141/cleopatra-and-society-architects,218,2006,6540,6.80246,6.47682,1.1748,2.2817,646,11005,4,3,5,4,4.0,90,60,60,Strategy ,742,6.53718,"Auction/Bidding
Dice Rolling
Enclosure
Grid Coverage
Hand Management
Open Drafting
",Unknown,Family ,360,6.5545,,,
Manoeuvre ,https://boardgamegeek.com/boardgame/17396/manoeuvre,219,2008,2450,7.28759,6.47406,1.39499,2.1096,292,7564,6,2,2,2,2.0,51,60,60,War ,142,7.03471,"Campaign / Battle Card Driven
Dice Rolling
Grid Movement
Hand Management
Modular Board
Square Grid
",Unknown,,,,,,
GIPF ,https://boardgamegeek.com/boardgame/527/gipf,220,1996,3254,7.09606,6.47404,1.33194,2.7822,225,9959,2,2,2,2,2.0,37,30,60,Abstract ,38,6.9176,"Grid Movement
Pattern Building
",$39.99,,,,,,
Level 7 [Omega Protocol] ,https://boardgamegeek.com/boardgame/137649/level-7-omega-protocol,221,2013,2131,7.43591,6.47307,1.3878,3.1818,110,2761,0,2,6,5,5.0,57,60,90,Thematic,213,6.78712,"Action Points
Dice Rolling
Grid Movement
Modular Board
Player Elimination
Scenario / Mission / Campaign Game
",$293.68,Strategy ,677,6.60268,,,
Genotype: A Mendelian Genetics Game ,https://boardgamegeek.com/boardgame/252752/genotype-mendelian-genetics-game,222,2021,1973,7.50304,6.47555,1.09606,2.8,65,5390,2,1,5,3,4.0,46,45,90,Strategy ,646,6.63838,"Contracts
Dice Rolling
Market
Open Drafting
Set Collection
Simulation
",$54.99,,,,,,
Castle Panic ,https://boardgamegeek.com/boardgame/43443/castle-panic,223,2009,15935,6.64783,6.47151,1.30744,1.6532,718,44062,2,1,6,4,4.0,178,30,60,Family ,416,6.48538,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Semi-Cooperative Game
Solo / Solitaire Game
",$27.96,,,,,,
Vikings Gone Wild ,https://boardgamegeek.com/boardgame/187377/vikings-gone-wild,224,2017,3633,7.1197,6.47093,1.33577,2.2419,62,8121,0,2,4,3,3.0,51,45,90,Strategy ,735,6.5468,"Deck, Bag, and Pool Building
Hand Management
",Unknown,,,,,,
Council of 4 ,https://boardgamegeek.com/boardgame/173101/council-4,225,2015,2949,7.14085,6.47168,1.24219,2.625,96,6686,0,2,4,3,4.0,67,40,75,Strategy ,685,6.59693,"Hand Management
Network and Route Building
Point to Point Movement
",Unknown,,,,,,
Odin's Ravens (Second Edition) ,https://boardgamegeek.com/boardgame/192074/odins-ravens-second-edition,226,2016,3926,7.00797,6.47219,1.14563,1.1961,102,13178,2,2,2,2,2.0,33,15,30,Family ,350,6.56987,"Hand Management
Race
Track Movement
",Unknown,,,,,,
Lockup: A Roll Player Tale ,https://boardgamegeek.com/boardgame/240855/lockup-roll-player-tale,227,2019,2211,7.36982,6.47028,1.21263,2.4,50,5741,1,1,5,3,4.0,69,45,90,Strategy ,661,6.61742,"Area Majority / Influence
Auction: Multiple Lot
Secret Unit Deployment
Set Collection
Worker Placement
",$51.72,,,,,,
Ponzi Scheme ,https://boardgamegeek.com/boardgame/180899/ponzi-scheme,228,2015,2877,7.1503,6.47071,1.36837,2.4308,65,7058,2,3,5,4,4.0,38,60,90,Strategy ,675,6.60298,"Loans
Set Collection
Trading
",Unknown,,,,,,
The Thing: The Boardgame ,https://boardgamegeek.com/boardgame/295293/thing-boardgame,229,2022,1823,7.69513,6.47032,1.5024,2.9565,69,4732,2,5,8,7,8.0,78,60,90,Thematic,209,6.79612,"Hidden Roles
Semi-Cooperative Game
Traitor Game
Voting
",Unknown,,,,,,
Mythos Tales ,https://boardgamegeek.com/boardgame/126100/mythos-tales,230,2016,2333,7.35787,6.4701,1.38934,2.122,41,6927,0,1,5,2,3.0,37,60,120,Thematic,225,6.76723,"Cooperative Game
Solo / Solitaire Game
Storytelling
",Unknown,,,,,,
Evergreen ,https://boardgamegeek.com/boardgame/363307/evergreen,231,2022,1978,7.49987,6.4753,1.11335,2.0926,54,9086,0,1,4,2,2.0,45,45,45,Family ,283,6.66366,"Bias
End Game Bonuses
Open Drafting
",$43.97,,,,,,
Pictures ,https://boardgamegeek.com/boardgame/284108/pictures,232,2019,2683,7.20793,6.47062,1.31074,1.0164,61,10136,10,3,5,4,5.0,40,20,30,Party ,50,6.84608,"Communication Limits
Deduction
Pattern Recognition
",$39.99,Family ,316,6.6237,,,
Skulls of Sedlec ,https://boardgamegeek.com/boardgame/303553/skulls-sedlec,233,2020,2075,7.42201,6.47102,1.03473,1.275,40,17831,0,1,3,2,2.0,43,20,20,Family ,306,6.63838,"Open Drafting
Pattern Building
Set Collection
",Unknown,,,,,,
Agra ,https://boardgamegeek.com/boardgame/230085/agra,234,2017,2400,7.305,6.46646,1.44437,4.3433,268,5125,2,2,4,4,4.0,78,90,120,Strategy ,662,6.61628,"Area Majority / Influence
Trading
Worker Placement
",$60.47,,,,,,
Dungeon Fighter ,https://boardgamegeek.com/boardgame/102548/dungeon-fighter,235,2011,6691,6.81105,6.46714,1.4631,1.7563,279,16081,1,2,6,3,4.0,87,45,60,Party ,88,6.57106,"Cooperative Game
Dice Rolling
Modular Board
Open Drafting
Point to Point Movement
Turn Order: Progressive
",$29.50,,,,,,
Fleet ,https://boardgamegeek.com/boardgame/121297/fleet,236,2012,5196,6.8487,6.46678,1.27711,2.2408,245,19025,1,2,4,4,4.0,80,30,45,Strategy ,733,6.54851,"Auction: Turn Order Until Pass
Auction/Bidding
Hand Management
Multi-Use Cards
Victory Points as a Resource
",Unknown,,,,,,
Maximum Apocalypse ,https://boardgamegeek.com/boardgame/188547/maximum-apocalypse,237,2018,2194,7.52235,6.46608,1.35377,2.1176,68,8007,0,1,5,4,4.0,61,45,90,Thematic,234,6.74406,"Action Points
Campaign / Battle Card Driven
Cooperative Game
Hand Management
Modular Board
Pick-up and Deliver
",Unknown,,,,,,
Thunder Road: Vendetta ,https://boardgamegeek.com/boardgame/342070/thunder-road-vendetta,238,2023,1330,8.0489,6.48515,1.30527,2.0968,31,4474,0,2,4,4,4.0,45,45,75,Thematic,191,6.83771,"Dice Rolling
Grid Movement
Player Elimination
Roll / Spin and Move
Take That
",$60.00,,,,,,
1862: Railway Mania in the Eastern Counties ,https://boardgamegeek.com/boardgame/66837/1862-railway-mania-eastern-counties,239,2013,1100,8.22692,6.46579,1.41054,4.6237,93,5074,0,1,6,4,4.0,56,120,300,Strategy ,589,6.70542,"Auction/Bidding
Market
Network and Route Building
Ownership
Stock Holding
Tile Placement
",$68.50,,,,,,
Hamburgum ,https://boardgamegeek.com/boardgame/30381/hamburgum,240,2007,3234,7.05265,6.46472,1.1902,3.0747,375,5274,3,2,5,4,4.0,64,75,75,Strategy ,691,6.5909,"Rondel
Set Collection
",Unknown,,,,,,
New York 1901 ,https://boardgamegeek.com/boardgame/174660/new-york-1901,241,2015,6238,6.79816,6.46369,1.17791,2.0472,212,13343,7,2,4,4,4.0,75,30,60,Family ,368,6.5432,"Area Majority / Influence
Once-Per-Game Abilities
Open Drafting
Tile Placement
",$40.09,,,,,,
Paris ,https://boardgamegeek.com/boardgame/282954/paris,242,2020,2546,7.25434,6.46391,1.25213,2.7778,81,5634,0,2,4,4,4.0,58,90,90,Strategy ,681,6.60111,"Area Majority / Influence
End Game Bonuses
Hand Management
Income
Modular Board
Set Collection
",$109.99,Family ,319,6.62014,,,
Brew ,https://boardgamegeek.com/boardgame/332386/brew,243,2021,3260,7.11991,6.46023,1.23643,2.3387,62,7231,1,2,4,3,3.0,58,45,90,Strategy ,738,6.54284,"Area Majority / Influence
Dice Rolling
Open Drafting
Take That
Turn Order: Progressive
Variable Player Powers
",$31.95,,,,,,
Blokus Duo ,https://boardgamegeek.com/boardgame/16395/blokus-duo,244,2005,5675,6.82091,6.46175,1.2144,1.6876,445,26616,4,2,2,2,2.0,61,15,15,Abstract ,61,6.7127,"Enclosure
Grid Coverage
Square Grid
Tile Placement
",$16.99,,,,,,
Zombie Teenz Evolution ,https://boardgamegeek.com/boardgame/310448/zombie-teenz-evolution,245,2020,1640,7.69763,6.4639,1.28555,1.4375,32,21661,9,2,4,3,4.0,26,15,25,Family ,286,6.66118,"Action Points
Cooperative Game
Dice Rolling
Events
Legacy Game
Pick-up and Deliver
",$24.99,,,,,,
Werewords Deluxe Edition ,https://boardgamegeek.com/boardgame/245422/werewords-deluxe-edition,246,2018,1820,7.53931,6.46416,1.3045,1.3077,26,19128,1,4,12,6,6.0,15,10,10,Party ,33,7.01566,"Hidden Roles
Traitor Game
Variable Player Powers
Voting
",$19.96,,,,,,
Fief: France 1429 ,https://boardgamegeek.com/boardgame/152470/fief-france-1429,247,2015,2261,7.42716,6.46223,1.6968,3.8176,159,3073,1,4,6,5,6.0,79,120,240,Strategy ,684,6.59841,"Area Majority / Influence
Dice Rolling
Team-Based Game
Trading
Voting
",Unknown,,,,,,
Nucleum ,https://boardgamegeek.com/boardgame/396790/nucleum,248,2023,1421,8.27348,6.60042,1.25798,4.0508,177,3526,0,1,4,3,3.0,79,60,150,Strategy ,469,6.83755,"Action Retrieval
Contracts
End Game Bonuses
Hand Management
Income
Market
",Unknown,,,,,,
Lands of Galzyr ,https://boardgamegeek.com/boardgame/281474/lands-galzyr,249,2022,1267,8.21686,6.47216,1.42869,1.5926,54,4478,1,1,3,2,2.0,71,60,150,Thematic,188,6.84997,"Cooperative Game
Dice Rolling
Events
Movement Points
Narrative Choice / Paragraph
Negotiation
",Unknown,,,,,,
A Touch of Evil: The Supernatural Game ,https://boardgamegeek.com/boardgame/35815/touch-evil-supernatural-game,250,2008,4640,6.97905,6.46098,1.53083,2.5646,356,9257,0,1,6,4,4.0,121,60,120,Thematic,293,6.6326,"Area Movement
Cooperative Game
Dice Rolling
Roll / Spin and Move
Variable Player Powers
",Unknown,,,,,,
Strasbourg ,https://boardgamegeek.com/boardgame/91873/strasbourg,251,2011,2707,7.15942,6.46193,1.17767,2.733,191,5593,2,3,5,5,5.0,63,60,60,Strategy ,666,6.608,"Area Majority / Influence
Auction: Once Around
Auction/Bidding
Pattern Building
Tile Placement
",Unknown,,,,,,
Thunderbolt Apache Leader ,https://boardgamegeek.com/boardgame/123955/thunderbolt-apache-leader,252,2012,1334,8.0203,6.46321,1.39189,3.2222,126,3568,2,1,1,1,1.0,46,90,90,War ,40,7.42432,"Area Movement
Hand Management
Hexagon Grid
Simulation
Solo / Solitaire Game
",$93.47,,,,,,
The Initiative ,https://boardgamegeek.com/boardgame/328908/initiative,253,2021,1862,7.59562,6.45896,1.38495,2,50,16924,2,2,4,2,2.0,52,30,60,Thematic,222,6.77229,"Area Movement
Cooperative Game
Deduction
Scenario / Mission / Campaign Game
Variable Player Powers
",$48.32,Family ,303,6.63935,,,
It's a Wonderful Kingdom ,https://boardgamegeek.com/boardgame/327711/its-wonderful-kingdom,254,2021,2383,7.31564,6.45827,1.2899,2.6406,64,9166,2,1,2,2,2.0,46,45,60,Strategy ,689,6.59294,"Betting and Bluffing
I Cut, You Choose
Open Drafting
Solo / Solitaire Game
",$34.06,,,,,,
Medieval Academy ,https://boardgamegeek.com/boardgame/154386/medieval-academy,255,2014,3974,6.94101,6.45895,1.16393,1.811,127,11201,1,3,5,4,5.0,62,30,30,Family ,347,6.5778,"Area Majority / Influence
Closed Drafting
Hand Management
Modular Board
Simultaneous Action Selection
Variable Set-up
",Unknown,,,,,,
Peloponnes ,https://boardgamegeek.com/boardgame/42910/peloponnes,256,2009,2886,7.10194,6.45698,1.25252,2.379,219,10822,0,1,5,3,4.0,70,45,45,Strategy ,693,6.58944,"Auction/Bidding
Solo / Solitaire Game
Tile Placement
Variable Player Powers
",Unknown,,,,,,
Undaunted: Stalingrad ,https://boardgamegeek.com/boardgame/354570/undaunted-stalingrad,257,2022,998,8.69816,6.46331,1.37864,2.5517,29,5510,3,2,2,2,2.0,15,45,60,War ,29,7.5019,"Deck, Bag, and Pool Building
Dice Rolling
Hexagon Grid
Modular Board
Scenario / Mission / Campaign Game
Simulation
",Unknown,,,,,,
Carcassonne: South Seas ,https://boardgamegeek.com/boardgame/147303/carcassonne-south-seas,258,2013,3413,7.05811,6.45695,1.18781,1.8859,149,12621,2,2,4,2,3.0,51,35,35,Family ,343,6.5823,"Area Majority / Influence
Set Collection
Tile Placement
",$177.77,,,,,,
The Fox in the Forest Duet ,https://boardgamegeek.com/boardgame/288169/fox-forest-duet,259,2020,3177,7.074,6.45542,1.22498,1.7429,70,9617,3,2,2,2,2.0,32,30,30,Family ,337,6.58904,"Communication Limits
Cooperative Game
Hand Management
Trick-taking
",Unknown,,,,,,
Arkadia ,https://boardgamegeek.com/boardgame/25643/arkadia,260,2006,4308,6.90836,6.4561,1.16873,2.5703,505,10561,7,2,4,3,3.0,93,45,60,Strategy ,731,6.55092,"Area Majority / Influence
Set Collection
Stock Holding
Tile Placement
",Unknown,,,,,,
Duelosaur Island ,https://boardgamegeek.com/boardgame/247236/duelosaur-island,261,2018,3315,7.05735,6.4553,1.29579,2.3594,64,7674,1,1,2,2,2.0,49,30,45,Strategy ,725,6.55471,"Dice Rolling
Hand Management
I Cut, You Choose
Income
Open Drafting
Set Collection
",$105.06,,,,,,
Exit: The Game – The Sunken Treasure ,https://boardgamegeek.com/boardgame/226518/exit-game-sunken-treasure,262,2017,3341,7.04663,6.45633,1.29051,1.8571,56,4136,0,1,3,2,2.0,37,45,90,Family ,336,6.59034,"Cooperative Game
",$14.99,,,,,,
Hacienda ,https://boardgamegeek.com/boardgame/19100/hacienda,263,2005,4187,6.92482,6.45551,1.21686,2.6302,484,27863,3,2,5,4,4.0,79,60,90,Strategy ,721,6.55657,"Enclosure
Hexagon Grid
Network and Route Building
Open Drafting
Tile Placement
",Unknown,,,,,,
Agropolis ,https://boardgamegeek.com/boardgame/314088/agropolis,264,2021,2012,7.3995,6.45578,1.13061,1.7755,49,13602,1,1,2,1,1.0,45,15,20,Strategy ,667,6.60792,"Closed Drafting
Cooperative Game
Layering
Solo / Solitaire Game
Tile Placement
",Unknown,,,,,,
Folklore: The Affliction ,https://boardgamegeek.com/boardgame/159504/folklore-affliction,265,2017,2047,7.69977,6.45455,1.64929,3.679,81,5554,0,1,5,4,4.0,46,90,120,Thematic,212,6.79102,"Action Points
Cooperative Game
Dice Rolling
Events
Grid Movement
Modular Board
",Unknown,,,,,,
Castell ,https://boardgamegeek.com/boardgame/238638/castell,266,2018,1940,7.42349,6.45472,1.23265,3.2048,83,4580,0,2,4,3,3.0,46,60,90,Strategy ,658,6.62295,"Area Movement
Pattern Building
Set Collection
",Unknown,,,,,,
Tussie Mussie ,https://boardgamegeek.com/boardgame/257614/tussie-mussie,267,2019,4115,6.95079,6.45701,1.22502,1.1271,118,22036,1,1,4,2,2.0,95,20,30,Family ,357,6.55944,"Betting and Bluffing
I Cut, You Choose
Open Drafting
Set Collection
",Unknown,,,,,,
