Title,Link,Rank,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Category_1,RankCategory_1,ScoreCategory_1,Category_2,RankCategory_2,ScoreCategory_2,Mechanics,AmazonPrice
Raptor ,https://boardgamegeek.com/boardgame/177639/raptor,522,2015,9927,7.24807,6.93419,1.20385,2.0708,240,29956,2,2,2,2,2,81,30,30,Strategy ,358,6.98416,,,,"Action Points
Action Retrieval
Grid Movement
Hand Management
Modular Board
Simultaneous Action Selection
",$26.84 
The Witcher: Old World ,https://boardgamegeek.com/boardgame/331106/witcher-old-world,523,2023,3807,8.11598,6.93265,1.73791,2.8333,228,7676,0,1,3,2,3,255,90,150,Thematic,106,7.14197,,,,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Dice Rolling
Events
Hand Management
Increase Value of Unchosen Resources
",$99.95 
Imhotep ,https://boardgamegeek.com/boardgame/191862/imhotep,524,2016,15265,7.14806,6.93182,1.14116,2.0216,324,47035,9,2,4,4,4,206,40,40,Family ,120,6.98329,,,,"Area Majority / Influence
End Game Bonuses
Modular Board
Set Collection
Worker Placement
",Unknown
The Guild of Merchant Explorers ,https://boardgamegeek.com/boardgame/350933/guild-merchant-explorers,525,2022,3577,7.74626,6.93137,1.05859,2.0417,72,17898,2,1,4,2,2,77,45,45,Strategy ,293,7.09296,Family ,84,7.11601,"Bingo
Hexagon Grid
Hidden Victory Points
Line Drawing
Network and Route Building
Pattern Movement
",$43.11 
1846: The Race for the Midwest ,https://boardgamegeek.com/boardgame/17405/1846-race-midwest,526,2005,2836,7.93594,6.93091,1.37629,3.9695,164,17294,0,3,5,4,4,84,120,240,Strategy ,256,7.13876,,,,"Hexagon Grid
Investment
Market
Network and Route Building
Ownership
Stock Holding
",$61.46 
Blackout: Hong Kong ,https://boardgamegeek.com/boardgame/262215/blackout-hong-kong,527,2018,5710,7.44645,6.92893,1.24699,3.498,255,16881,4,1,4,3,3,160,75,150,Strategy ,322,7.04307,,,,"Area Majority / Influence
Deck, Bag, and Pool Building
Dice Rolling
Hand Management
Network and Route Building
Open Drafting
",$61.97 
Argent: The Consortium ,https://boardgamegeek.com/boardgame/144797/argent-consortium,528,2015,4156,7.6397,6.92871,1.50109,3.7867,211,8283,1,2,5,3,3,104,60,150,Strategy ,306,7.06832,,,,"Area Majority / Influence
Modular Board
Take That
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",$58.39 
CATAN ,https://boardgamegeek.com/boardgame/13/catan,529,1995,122693,7.10201,6.92847,1.4911,2.2976,7986,349760,15,3,4,4,4,1896,60,120,Strategy ,494,6.80364,Family ,170,6.87446,"Chaining
Dice Rolling
Hexagon Grid
Income
Modular Board
Negotiation
",$43.99 
Railroad Ink: Deep Blue Edition ,https://boardgamegeek.com/boardgame/245654/railroad-ink-deep-blue-edition,530,2018,12349,7.19145,6.92839,1.19245,1.4706,221,114586,3,1,6,2,2,137,20,30,Family ,119,6.98546,,,,"Bingo
Connections
Dice Rolling
Line Drawing
Network and Route Building
Paper-and-Pencil
",$26.79 
Freedom: The Underground Railroad ,https://boardgamegeek.com/boardgame/119506/freedom-underground-railroad,531,2013,4400,7.58348,6.92808,1.22923,2.9,200,10244,7,1,4,3,3,91,60,120,Thematic,92,7.18063,Strategy ,312,7.06189,"Cooperative Game
Pick-up and Deliver
Point to Point Movement
Push Your Luck
Solo / Solitaire Game
Variable Player Powers
",Unknown
Undaunted: North Africa ,https://boardgamegeek.com/boardgame/290359/undaunted-north-africa,532,2020,3387,7.84621,6.9265,1.25449,2.2647,68,9529,8,2,2,2,2,40,45,60,War ,48,7.40403,Thematic,90,7.18488,"Command Cards
Deck, Bag, and Pool Building
Dice Rolling
Hexagon Grid
Modular Board
Open Drafting
",$37.22 
Thurn and Taxis ,https://boardgamegeek.com/boardgame/21790/thurn-and-taxis,533,2006,19765,7.09089,6.92351,1.17801,2.26,1846,77596,19,2,4,3,4,319,60,60,Strategy ,385,6.94597,Family ,128,6.9617,"Hand Management
Network and Route Building
Open Drafting
Set Collection
",$137.56 
Port Royal ,https://boardgamegeek.com/boardgame/156009/port-royal,534,2014,16978,7.12485,6.92022,1.1875,1.6223,556,123973,7,2,5,3,4,270,20,50,Family ,127,6.96486,,,,"Contracts
Events
Market
Move Through Deck
Open Drafting
Push Your Luck
",$20.94 
Small World Underground ,https://boardgamegeek.com/boardgame/97786/small-world-underground,535,2011,10860,7.23948,6.91947,1.27452,2.5873,395,12590,0,2,5,4,4,84,30,90,Strategy ,373,6.95725,Family ,124,6.97514,"Area Majority / Influence
Area Movement
Dice Rolling
King of the Hill
Variable Player Powers
",$37.99 
Distilled ,https://boardgamegeek.com/boardgame/295895/distilled,536,2023,3082,7.95831,6.91867,1.3255,2.9704,169,10579,0,1,4,3,3,90,30,150,Thematic,97,7.17034,Strategy ,298,7.08489,"Hand Management
Income
Market
Push Your Luck
Set Collection
",$70.02 
Star Wars: X-Wing (Second Edition) ,https://boardgamegeek.com/boardgame/252328/star-wars-x-wing-second-edition,537,2018,2881,8.06967,6.91662,1.55652,3.0952,63,20216,0,2,2,2,2,35,30,45,War ,70,7.29349,Customizable,10,7.40825,"Action Queue
Critical Hits and Failures
Dice Rolling
Line of Sight
Movement Template
Player Elimination
",$38.39 
High Society ,https://boardgamegeek.com/boardgame/220/high-society,538,1995,12787,7.14942,6.91497,1.23676,1.4838,649,58723,1,3,5,4,5,198,15,30,Family ,125,6.97243,,,,"Auction: Turn Order Until Pass
Auction/Bidding
Constrained Bidding
Hand Management
",$20.00 
Akropolis ,https://boardgamegeek.com/boardgame/357563/akropolis,539,2022,5098,7.51983,6.91488,1.11571,1.792,125,36770,16,2,4,3,3,92,20,30,Family ,102,7.05409,,,,"End Game Bonuses
Layering
Open Drafting
Pattern Building
Tile Placement
",$27.72 
Escape Plan ,https://boardgamegeek.com/boardgame/142379/escape-plan,540,2019,5031,7.52225,6.91467,1.38021,3.6701,291,10965,5,1,5,4,4,150,60,120,Strategy ,326,7.03584,,,,"Area Movement
Enclosure
Hexagon Grid
Modular Board
Open Drafting
Tile Placement
",Unknown
Ingenious ,https://boardgamegeek.com/boardgame/9674/ingenious,541,2004,16958,7.104,6.91391,1.19437,1.9094,1390,86747,19,2,4,2,2,331,30,45,Abstract ,28,7.03235,,,,"Hand Management
Highest-Lowest Scoring
Pattern Building
Team-Based Game
Tile Placement
",$39.38 
Woodcraft ,https://boardgamegeek.com/boardgame/355093/woodcraft,542,2022,3689,7.72164,6.9139,1.28339,3.8451,226,12989,2,1,4,3,3,111,60,120,Strategy ,309,7.06587,,,,"Contracts
Dice Rolling
End Game Bonuses
Income
Solo / Solitaire Game
",$47.61 
First Class: All Aboard the Orient Express! ,https://boardgamegeek.com/boardgame/206941/first-class-all-aboard-orient-express,543,2016,5638,7.42251,6.91307,1.13602,2.7943,141,21333,7,2,4,4,4,74,40,80,Strategy ,327,7.03125,,,,"Open Drafting
Set Collection
Variable Set-up
",Unknown
Alhambra ,https://boardgamegeek.com/boardgame/6249/alhambra,544,2003,32912,7.03173,6.9114,1.18339,2.1003,2364,115940,15,2,5,3,3,740,45,60,Strategy ,411,6.90737,Family ,146,6.93389,"Hand Management
Memory
Open Drafting
Set Collection
Tile Placement
",Unknown
The Grizzled ,https://boardgamegeek.com/boardgame/171668/grizzled,545,2015,14365,7.14293,6.91063,1.28722,1.9775,356,57750,12,3,5,4,5,199,30,30,Thematic,150,6.95663,,,,"Communication Limits
Cooperative Game
Hand Management
Move Through Deck
Push Your Luck
Variable Player Powers
",$24.99 
TZAAR ,https://boardgamegeek.com/boardgame/31999/tzaar,546,2007,3745,7.66649,6.91026,1.31761,2.5185,216,17588,6,2,2,2,2,39,30,60,Abstract ,7,7.4369,,,,"Grid Movement
Map Reduction
",$29.46 
Archipelago ,https://boardgamegeek.com/boardgame/105551/archipelago,547,2012,8132,7.29742,6.91019,1.55887,3.7354,514,17082,2,2,5,4,4,173,30,240,Strategy ,361,6.9783,,,,"Area Majority / Influence
Auction/Bidding
Commodity Speculation
Grid Movement
Hexagon Grid
Map Addition
",Unknown
MicroMacro: Crime City – Full House ,https://boardgamegeek.com/boardgame/338834/micromacro-crime-city-full-house,548,2021,3525,7.71631,6.90993,1.15745,1.2031,64,22837,4,1,3,2,2,59,15,45,Family ,93,7.08925,,,,"Cooperative Game
Deduction
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Storytelling
Team-Based Game
",$32.03 
London ,https://boardgamegeek.com/boardgame/65781/london,549,2010,6543,7.33168,6.90951,1.26381,2.8852,453,19330,5,2,4,3,3,154,90,90,Strategy ,337,7.01637,,,,"Hand Management
Open Drafting
",Unknown
Caper: Europe ,https://boardgamegeek.com/boardgame/328565/caper-europe,550,2022,3409,7.76356,6.90776,1.14225,2.1127,71,12544,1,2,2,2,2,42,25,35,Strategy ,321,7.04327,Family ,95,7.0854,"Area Majority / Influence
Closed Drafting
Set Collection
Tug of War
",$35.00 
Fleet: The Dice Game ,https://boardgamegeek.com/boardgame/245961/fleet-dice-game,551,2018,3751,7.6672,6.90645,1.14641,2.5233,86,20375,0,1,4,2,2,59,30,45,Strategy ,316,7.05432,,,,"Dice Rolling
Paper-and-Pencil
Solo / Solitaire Game
",$33.99 
The Fox in the Forest ,https://boardgamegeek.com/boardgame/221965/fox-forest,552,2017,14667,7.11993,6.90623,1.2231,1.5758,264,46460,8,2,2,2,2,100,30,30,Family ,134,6.95829,,,,"Hand Management
Trick-taking
",$15.99 
Madeira ,https://boardgamegeek.com/boardgame/95527/madeira,553,2013,4396,7.5547,6.90551,1.51907,4.3033,455,11163,6,2,4,4,4,105,60,150,Strategy ,317,7.05168,,,,"Area Majority / Influence
Dice Rolling
Turn Order: Pass Order
Turn Order: Stat-Based
Worker Placement
Worker Placement with Dice Workers
",$140.99 
Time's Up! Title Recall! ,https://boardgamegeek.com/boardgame/36553/times-title-recall,554,2008,3542,7.69176,6.90506,1.51479,1.1868,91,14618,2,4,4,6,6,36,60,60,Party ,10,7.3607,,,,"Acting
Communication Limits
Memory
Team-Based Game
",$19.99 
Libertalia ,https://boardgamegeek.com/boardgame/125618/libertalia,555,2012,14036,7.12226,6.90436,1.27957,2.2381,504,34806,3,3,6,4,4,226,40,60,Strategy ,387,6.93906,,,,"Action Queue
Hand Management
Selection Order Bid
Set Collection
Simultaneous Action Selection
Take That
",Unknown
Legends of Andor ,https://boardgamegeek.com/boardgame/127398/legends-andor,556,2012,18651,7.12495,6.90419,1.46896,2.7639,775,49467,17,1,4,4,4,346,60,90,Thematic,167,6.91799,,,,"Area Movement
Cooperative Game
Dice Rolling
Scenario / Mission / Campaign Game
Variable Player Powers
",$43.06 
Frostpunk: The Board Game ,https://boardgamegeek.com/boardgame/311988/frostpunk-board-game,557,2022,2417,8.31957,6.90366,1.56614,4.3012,249,6582,7,1,2,1,2,183,120,150,Thematic,61,7.29529,Strategy ,280,7.10792,"Cooperative Game
Cube Tower
Events
Modular Board
Scenario / Mission / Campaign Game
Solo / Solitaire Game
",$539.99 
Imperium: Legends ,https://boardgamegeek.com/boardgame/318182/imperium-legends,558,2021,3194,7.8609,6.90346,1.39737,3.6899,129,6827,5,1,2,1,2,116,60,120,Strategy ,305,7.06875,,,,"Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Market
Move Through Deck
Solo / Solitaire Game
",$41.00 
Love Letter: Premium Edition ,https://boardgamegeek.com/boardgame/196326/love-letter-premium-edition,559,2016,5702,7.44445,6.9032,1.3747,1.3269,104,20838,0,3,8,4,6,92,20,30,Party ,22,7.1283,Family ,117,7.00153,"Hand Management
Player Elimination
",Unknown
Airlines Europe ,https://boardgamegeek.com/boardgame/90419/airlines-europe,560,2011,7339,7.29829,6.90272,1.17869,2.4362,431,17441,8,3,5,4,4,164,75,75,Strategy ,353,6.99084,Family ,115,7.004,"Investment
Network and Route Building
Open Drafting
Set Collection
Stock Holding
",Unknown
Sushi Go! ,https://boardgamegeek.com/boardgame/133473/sushi-go,561,2013,44863,7.01053,6.90194,1.14824,1.158,1247,225479,9,3,5,4,4,434,15,15,Family ,157,6.90887,,,,"Closed Drafting
End Game Bonuses
Hand Management
Set Collection
Simultaneous Action Selection
",$11.99 
Euphoria: Build a Better Dystopia ,https://boardgamegeek.com/boardgame/133848/euphoria-build-better-dystopia,562,2013,10689,7.19383,6.90125,1.40159,3.1173,486,27328,7,2,6,4,5,172,60,60,Strategy ,382,6.94777,,,,"Dice Rolling
Hand Management
Race
Set Collection
Trading
Variable Player Powers
",Unknown
RoboRally ,https://boardgamegeek.com/boardgame/18/roborally,563,1994,23727,7.06128,6.901,1.5437,2.4291,1741,51386,3,3,8,5,6,295,45,120,Thematic,179,6.88325,Strategy ,435,6.87795,"Action Queue
Bias
Grid Movement
Lose a Turn
Modular Board
Programmed Movement
",Unknown
Wabash Cannonball ,https://boardgamegeek.com/boardgame/31730/wabash-cannonball,564,2007,8196,7.24821,6.90095,1.34211,2.7804,624,24181,3,3,5,4,4,222,30,60,Strategy ,357,6.98426,,,,"Auction: Turn Order Until Pass
Auction/Bidding
Investment
Network and Route Building
Ownership
Stock Holding
",$38.59 
Elysium ,https://boardgamegeek.com/boardgame/163968/elysium,565,2015,9629,7.20051,6.89958,1.2158,2.7608,372,21464,10,2,4,3,3,174,60,60,Strategy ,368,6.96552,,,,"Open Drafting
Set Collection
Take That
Turn Order: Claim Action
Variable Set-up
",$51.99 
Discworld: Ankh-Morpork ,https://boardgamegeek.com/boardgame/91312/discworld-ankh-morpork,566,2011,10297,7.24753,6.8995,1.37667,2.2068,590,23862,5,2,4,4,4,208,60,60,Thematic,162,6.92678,,,,"Area Majority / Influence
Dice Rolling
Events
Hand Management
Hidden Roles
Interrupts
",Unknown
Camel Up ,https://boardgamegeek.com/boardgame/153938/camel,567,2014,26511,7.04151,6.89742,1.2361,1.4761,899,93603,17,3,7,4,5,380,20,30,Family ,154,6.91984,,,,"Betting and Bluffing
Dice Rolling
End Game Bonuses
Roll / Spin and Move
Track Movement
Variable Set-up
",Unknown
Vikings ,https://boardgamegeek.com/boardgame/27173/vikings,568,2007,8413,7.2457,6.89583,1.20002,2.5427,702,37597,7,2,4,3,3,223,60,60,Strategy ,366,6.97231,,,,"Auction/Bidding
Rondel
Tile Placement
Victory Points as a Resource
",Unknown
One Night Ultimate Werewolf ,https://boardgamegeek.com/boardgame/147949/one-night-ultimate-werewolf,569,2014,26862,7.06845,6.89571,1.6147,1.3774,681,199556,5,4,10,6,8,302,10,10,Party ,43,6.8908,,,,"Hidden Roles
Role Playing
Roles with Asymmetric Information
Traitor Game
Variable Player Powers
Voting
",$24.95 
Libertalia: Winds of Galecrest ,https://boardgamegeek.com/boardgame/356033/libertalia-winds-galecrest,570,2022,4989,7.49638,6.89503,1.28602,2.124,129,15983,3,1,6,4,6,120,45,60,Strategy ,345,7.00301,Family ,107,7.03561,"Action Queue
Hand Management
Set Collection
Simultaneous Action Selection
Take That
Turn Order: Role Order
",$59.99 
Runebound (Third Edition) ,https://boardgamegeek.com/boardgame/181530/runebound-third-edition,571,2015,6020,7.46602,6.89426,1.40674,2.7172,198,11644,0,1,3,2,2,204,120,180,Thematic,131,7.05923,,,,"Action Points
Area Movement
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Hexagon Grid
",Unknown
Valeria: Card Kingdoms ,https://boardgamegeek.com/boardgame/170561/valeria-card-kingdoms,572,2016,5576,7.45266,6.89405,1.26152,1.9776,134,25314,0,2,4,3,3,90,30,45,Strategy ,365,6.97266,Family ,116,7.00238,"Dice Rolling
Open Drafting
Random Production
Variable Set-up
",Unknown
Nova Luna ,https://boardgamegeek.com/boardgame/284435/nova-luna,573,2019,7689,7.29819,6.89394,1.16155,1.8824,221,64765,5,1,4,2,2,173,30,60,Abstract ,19,7.10335,,,,"Contracts
Race
Tile Placement
Turn Order: Time Track
",Unknown
Last Will ,https://boardgamegeek.com/boardgame/97842/last-will,574,2011,10234,7.17233,6.89357,1.17122,2.7209,473,24531,4,2,5,4,4,114,45,75,Strategy ,375,6.95625,,,,"Action Points
Hand Management
Victory Points as a Resource
Worker Placement
",$44.34 
Sentinels of the Multiverse ,https://boardgamegeek.com/boardgame/102652/sentinels-multiverse,575,2011,15902,7.15293,6.89264,1.68782,2.5121,742,92609,1,1,5,4,4,339,30,60,Thematic,165,6.91994,,,,"Cooperative Game
Hand Management
Solo / Solitaire Game
Variable Player Powers
",$56.24 
Roads & Boats ,https://boardgamegeek.com/boardgame/875/roads-boats,576,1999,3359,7.71439,6.89079,1.64391,4.194,366,6736,0,1,4,2,2,74,240,240,Strategy ,308,7.06684,,,,"Grid Movement
Line Drawing
Modular Board
Network and Route Building
Pick-up and Deliver
",Unknown
The LOOP ,https://boardgamegeek.com/boardgame/316412/loop,577,2020,3556,7.7643,6.89059,1.22041,2.7611,113,14728,0,1,4,2,2,108,60,60,Strategy ,332,7.02538,,,,"Cooperative Game
Cube Tower
Deck, Bag, and Pool Building
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Variable Player Powers
",$30.99 
BattleCON: Devastation of Indines ,https://boardgamegeek.com/boardgame/123123/battlecon-devastation-indines,578,2013,3250,7.83856,6.88954,1.64553,3.0875,160,11451,2,1,5,2,2,80,45,45,Strategy ,320,7.04603,,,,"Hand Management
Point to Point Movement
Simultaneous Action Selection
Solo / Solitaire Game
Team-Based Game
Variable Player Powers
",Unknown
Karuba ,https://boardgamegeek.com/boardgame/183251/karuba,579,2015,10721,7.17431,6.88838,1.09786,1.4329,231,57874,6,2,4,4,4,124,30,40,Family ,132,6.95871,,,,"Bingo
Connections
Grid Movement
Network and Route Building
Simultaneous Action Selection
Tile Placement
",$39.99 
Space Empires 4X ,https://boardgamegeek.com/boardgame/84419/space-empires-4x,580,2011,3791,7.69048,6.8881,1.52066,3.377,313,8453,3,1,4,2,2,124,60,240,War ,40,7.42647,,,,"Auction/Bidding
Dice Rolling
Grid Movement
Hexagon Grid
Income
Movement Points
",$99.95 
Aquatica ,https://boardgamegeek.com/boardgame/283393/aquatica,581,2019,5784,7.38116,6.88794,1.18669,2.2923,130,17606,3,2,4,3,3,92,30,60,Strategy ,354,6.98829,,,,"Action Retrieval
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Slide/Push
Solo / Solitaire Game
",Unknown
Las Vegas ,https://boardgamegeek.com/boardgame/117959/las-vegas,582,2012,11053,7.15958,6.88792,1.224,1.1751,434,80304,8,3,5,4,4,173,30,30,Family ,130,6.95924,,,,"Area Majority / Influence
Dice Rolling
",Unknown
In the Hall of the Mountain King ,https://boardgamegeek.com/boardgame/265402/hall-mountain-king,583,2019,4167,7.62734,6.88732,1.18545,2.8303,165,9024,0,2,5,3,4,114,90,90,Strategy ,336,7.01671,,,,"Grid Coverage
Network and Route Building
Pick-up and Deliver
Team-Based Game
Tile Placement
",$38.05 
Jamaica ,https://boardgamegeek.com/boardgame/28023/jamaica,584,2007,19660,7.06337,6.8869,1.2462,1.6627,842,50570,8,3,6,6,6,296,30,60,Family ,151,6.92392,,,,"Dice Rolling
Hand Management
Race
Roll / Spin and Move
Simultaneous Action Selection
",Unknown
Tales of the Arabian Nights ,https://boardgamegeek.com/boardgame/34119/tales-arabian-nights,585,2009,12589,7.16819,6.8866,1.63915,2.1476,630,22333,5,2,4,3,3,285,120,120,Thematic,159,6.93397,,,,"Dice Rolling
Narrative Choice / Paragraph
Point to Point Movement
Role Playing
Solo / Solitaire Game
Storytelling
",Unknown
StarCraft: The Board Game ,https://boardgamegeek.com/boardgame/22827/starcraft-board-game,586,2007,7488,7.35143,6.88628,1.58509,3.8494,797,10454,4,2,6,4,4,225,180,240,Thematic,138,7.02324,Strategy ,380,6.95173,"Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Deck, Bag, and Pool Building
Modular Board
Order Counters
",Unknown
Egizia ,https://boardgamegeek.com/boardgame/58421/egizia,587,2009,5425,7.39489,6.88599,1.19345,2.8359,384,19494,7,2,4,4,4,138,90,90,Strategy ,342,7.00559,,,,"Bias
End Game Bonuses
Open Drafting
Worker Placement
",Unknown
Taj Mahal ,https://boardgamegeek.com/boardgame/475/taj-mahal,588,2000,7717,7.26734,6.88551,1.31738,2.9911,786,14548,5,3,5,4,4,156,45,90,Strategy ,364,6.97394,,,,"Auction: Turn Order Until Pass
Auction/Bidding
Hand Management
Network and Route Building
Open Drafting
Set Collection
",$108.29 
Queendomino ,https://boardgamegeek.com/boardgame/232043/queendomino,589,2017,10562,7.17647,6.88488,1.15282,2.0479,188,29033,5,2,4,2,2,113,25,25,Family ,136,6.95205,,,,"Enclosure
Open Drafting
Tile Placement
Variable Phase Order
",$24.99 
Vinhos ,https://boardgamegeek.com/boardgame/42052/vinhos,590,2010,4832,7.47176,6.88353,1.47847,4.203,473,8801,4,2,4,4,4,111,60,135,Strategy ,338,7.01491,,,,"Area Majority / Influence
Worker Placement
",Unknown
Zombicide: 2nd Edition ,https://boardgamegeek.com/boardgame/286751/zombicide-2nd-edition,591,2021,3109,8.0162,6.88294,1.36892,2.4215,121,13340,1,1,6,3,3,83,60,60,Thematic,111,7.1299,,,,"Action Points
Cooperative Game
Dice Rolling
Modular Board
Multiple Maps
Scenario / Mission / Campaign Game
",$87.99 
Etherfields ,https://boardgamegeek.com/boardgame/280794/etherfields,592,2020,3554,7.98047,6.88277,1.89768,3.503,169,21189,1,1,3,2,2,138,90,180,Thematic,96,7.17191,,,,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Modular Board
Role Playing
",$199.99 
Baseball Highlights: 2045 ,https://boardgamegeek.com/boardgame/151022/baseball-highlights-2045,593,2015,4468,7.51971,6.88137,1.37161,2.1961,153,22308,7,1,2,2,2,100,45,45,Thematic,117,7.08559,Strategy ,347,6.99463,"Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game
Take That
",Unknown
Atlantis Rising (Second Edition) ,https://boardgamegeek.com/boardgame/248490/atlantis-rising-second-edition,594,2019,4143,7.57687,6.88108,1.28221,2.4455,101,8518,2,1,7,4,4,80,60,120,Strategy ,344,7.00472,,,,"Cooperative Game
Dice Rolling
Push Your Luck
Solo / Solitaire Game
Variable Player Powers
Worker Placement
",$54.24 
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set ,https://boardgamegeek.com/boardgame/133038/pathfinder-adventure-card-game-rise-runelords-base,595,2013,12666,7.17552,6.88103,1.58941,2.7155,717,85836,8,1,4,3,4,264,90,90,Thematic,153,6.94502,,,,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Hand Management
Move Through Deck
Role Playing
",Unknown
Colosseum ,https://boardgamegeek.com/boardgame/27746/colosseum,596,2007,8912,7.21053,6.87955,1.25396,2.756,746,17272,6,3,5,5,5,130,60,90,Strategy ,381,6.94925,Family ,129,6.9606,"Auction/Bidding
Dice Rolling
Roll / Spin and Move
Set Collection
Trading
",$138.99 
Through the Desert ,https://boardgamegeek.com/boardgame/503/through-desert,597,1998,13766,7.09188,6.87916,1.22498,2.2016,1409,36429,4,2,5,3,3,247,45,45,Abstract ,25,7.05353,Strategy ,406,6.91861,"Chaining
Connections
Enclosure
Hexagon Grid
Hidden Victory Points
Network and Route Building
",Unknown
QE ,https://boardgamegeek.com/boardgame/266830/qe,598,2019,5254,7.39873,6.87868,1.23231,1.5263,95,16943,5,3,5,5,5,87,45,45,Strategy ,348,6.99432,Family ,113,7.00881,"Auction: Sealed Bid
Auction/Bidding
End Game Bonuses
Memory
Set Collection
",$44.00 
Pax Porfiriana ,https://boardgamegeek.com/boardgame/128780/pax-porfiriana,599,2012,3614,7.65779,6.87669,1.59566,3.6353,266,16970,4,2,5,4,4,124,120,120,Strategy ,331,7.02736,,,,"Action Points
Finale Ending
Hand Management
Income
Market
Open Drafting
",Unknown
DVONN ,https://boardgamegeek.com/boardgame/2346/dvonn,600,2001,5029,7.45409,6.87611,1.33785,2.6589,387,19719,6,2,2,2,2,43,30,30,Abstract ,11,7.29212,,,,"Grid Movement
Map Reduction
",$31.85 
Voidfall ,https://boardgamegeek.com/boardgame/337627/voidfall,601,2023,1730,8.69128,6.8732,1.4012,4.5847,366,4969,0,1,4,3,3,104,90,240,Strategy ,260,7.1332,,,,"Area-Impulse
Command Cards
Events
Grid Movement
Hand Management
Hexagon Grid
",$449.99 
Nexus Ops ,https://boardgamegeek.com/boardgame/15363/nexus-ops,602,2005,8824,7.20817,6.87309,1.25797,2.232,905,20169,1,2,4,4,4,185,90,90,War ,146,7.02511,Thematic,144,6.98155,"Area Majority / Influence
Dice Rolling
Hand Management
Hexagon Grid
King of the Hill
Modular Board
",Unknown
Broom Service ,https://boardgamegeek.com/boardgame/172308/broom-service,603,2015,10094,7.16788,6.86919,1.25877,2.4,310,24071,6,2,5,4,4,195,30,75,Strategy ,394,6.93137,Family ,141,6.94201,"Area Movement
Follow
Hand Management
Pick-up and Deliver
Set Collection
Simultaneous Action Selection
",Unknown
Carcassonne: Hunters and Gatherers ,https://boardgamegeek.com/boardgame/4390/carcassonne-hunters-and-gatherers,604,2002,12769,7.12951,6.86833,1.24566,1.922,1090,44883,3,2,5,2,3,186,35,35,Family ,153,6.91997,,,,"Area Majority / Influence
Map Addition
Tile Placement
",Unknown
AquaSphere ,https://boardgamegeek.com/boardgame/159508/aquasphere,605,2014,7315,7.25713,6.86689,1.33052,3.6692,399,15800,7,2,4,4,4,135,100,100,Strategy ,377,6.9548,,,,"Area Majority / Influence
Area Movement
End Game Bonuses
Income
Modular Board
Once-Per-Game Abilities
",$54.95 
The Colonists ,https://boardgamegeek.com/boardgame/192836/colonists,606,2016,4126,7.55602,6.86621,1.43951,4.0793,227,10003,7,1,3,2,2,137,30,360,Strategy ,340,7.01124,,,,"Area Movement
Hand Management
Modular Board
Open Drafting
Solo / Solitaire Game
Tile Placement
",$36.88 
Pax Renaissance: 2nd Edition ,https://boardgamegeek.com/boardgame/308119/pax-renaissance-2nd-edition,607,2021,1744,8.52984,6.86602,1.5013,4.5819,177,6313,0,2,4,2,3,77,60,120,Strategy ,270,7.12218,,,,"Action Points
Increase Value of Unchosen Resources
Market
Open Drafting
Simulation
",$76.00 
Paperback ,https://boardgamegeek.com/boardgame/141572/paperback,608,2014,10678,7.1328,6.86591,1.2091,1.9929,283,35949,4,2,4,2,2,133,45,45,Strategy ,415,6.90271,Family ,150,6.9303,"Cooperative Game
Deck, Bag, and Pool Building
Delayed Purchase
Open Drafting
",Unknown
Unmatched: Little Red Riding Hood vs. Beowulf ,https://boardgamegeek.com/boardgame/325635/unmatched-little-red-riding-hood-vs-beowulf,609,2020,2288,8.18032,6.8659,1.15791,1.9167,24,2835,0,2,2,2,2,13,20,20,Strategy ,328,7.02941,,,,"Action Points
Card Play Conflict Resolution
Hand Management
Line of Sight
Point to Point Movement
Variable Player Powers
",$24.99 
Draftosaurus ,https://boardgamegeek.com/boardgame/264055/draftosaurus,610,2019,12695,7.10965,6.86427,1.1231,1.2445,274,125465,13,2,5,4,4,164,15,15,Family ,155,6.9195,,,,"Closed Drafting
Dice Rolling
Set Collection
Simultaneous Action Selection
",$24.99 
Dice Throne: Season One ,https://boardgamegeek.com/boardgame/216734/dice-throne-season-one,611,2018,5656,7.52652,6.86365,1.49529,2.0787,89,20079,0,2,4,2,2,77,20,40,Family ,139,6.94577,,,,"Dice Rolling
Re-rolling and Locking
Take That
Team-Based Game
Variable Player Powers
",Unknown
